"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"Extension","Extension","","","",0,1,"","","","null {[]} {[]}
","R5: The article or artifact being described (new)","R5: `Citation.citedArtifact` (new:BackboneElement)","Element `Citation.citedArtifact` is not mapped to FHIR R4, since FHIR R5 `Citation` is not mapped.
Element `Citation.citedArtifact` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).","","","","","","","","",,,,,"",,,,"Extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Extension.id","Extension.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Extension.extension","Extension.extension","","","",0,*,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Extension.extension:identifier","Extension.extension","identifier","","",0,*,"","","","Extension {[]} {[]}
","R5: Unique identifier. May include DOI, PMID, PMCID, etc (new)","R5: `Citation.citedArtifact.identifier` (new:Identifier)","Element `Citation.citedArtifact.identifier` is part of an existing definition because parent element `Citation.citedArtifact` requires a cross-version extension.
Element `Citation.citedArtifact.identifier` is not mapped to FHIR R4, since FHIR R5 `Citation` is not mapped.
Element `Citation.citedArtifact.identifier` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).
This element will contain unique identifiers that support de-duplication of citations. Commonly used identifiers for study citations include digital object identifier (DOI), PubMed ID (PMID), and PubMed Central ID (PMCID). To maintain interoperability, the suggested identifier.system values to use for these 3 identifiers are: DOI = ""https://doi.org"" PMID = ""https://pubmed.ncbi.nlm.nih.gov"" PMCID = ""https://www.ncbi.nlm.nih.gov/pmc/""","Allows externally provided and/or usable identifiers to be associated with the cited artifact. Element `Citation.citedArtifact.identifier` is part of an existing definition because parent element `Citation.citedArtifact` requires a cross-version extension.
Element `Citation.citedArtifact.identifier` is not mapped to FHIR R4, since FHIR R5 `Citation` is not mapped.
Element `Citation.citedArtifact.identifier` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Extension.extension:identifier.id","Extension.extension.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Extension.extension:identifier.extension","Extension.extension.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"Extension.extension:identifier.url","Extension.extension.url","","","",1,1,"","","","uri {[]} {[]}
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""identifier""/>","","","","",,,,,"",,,,"Extension.url",1,1,"","","N/A"
"Extension.extension:identifier.value[x]","Extension.extension.value[x]","","","",0,1,"","","","Identifier {[]} {[]}
","Unique identifier. May include DOI, PMID, PMCID, etc","A formal identifier that is used to identify the cited artifact when it is represented in other formats, or referenced in a specification, model, design or an instance.","This element will contain unique identifiers that support de-duplication of citations. Commonly used identifiers for study citations include digital object identifier (DOI), PubMed ID (PMID), and PubMed Central ID (PMCID). To maintain interoperability, the suggested identifier.system values to use for these 3 identifiers are: DOI = ""https://doi.org"" PMID = ""https://pubmed.ncbi.nlm.nih.gov"" PMCID = ""https://www.ncbi.nlm.nih.gov/pmc/""","","","","","","","","",,,,,"",,,,"Extension.value[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","N/A"
"Extension.extension:relatedIdentifier","Extension.extension","relatedIdentifier","","",0,*,"","","","Extension {[]} {[]}
","R5: Identifier not unique to the cited artifact. May include trial registry identifiers (new)","R5: `Citation.citedArtifact.relatedIdentifier` (new:Identifier)","Element `Citation.citedArtifact.relatedIdentifier` is part of an existing definition because parent element `Citation.citedArtifact` requires a cross-version extension.
Element `Citation.citedArtifact.relatedIdentifier` is not mapped to FHIR R4, since FHIR R5 `Citation` is not mapped.
Element `Citation.citedArtifact.relatedIdentifier` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).
May include trial registry identifiers, e.g. NCT04372602 from clinicaltrials.gov. This related identifier would not be used as unique identifier for the cited artifact itself. Multiple published articles (each with their own unique identifier) may relate to the same study record in a research registry. Commonly used related identifiers for study registries include ClinicalTrials.gov identifier (NCTId) and PROSPERO identifier (used for registration of systematic reviews). To maintain interoperability, the suggested identifier.system values to use for these 2 identifiers are: ClinicalTrials.gov = ""https://clinicaltrials.gov"" PROSPERO = ""https://www.crd.york.ac.uk/prospero/""","Allows externally provided and/or usable identifiers to be associated with this the cited artifact. Element `Citation.citedArtifact.relatedIdentifier` is part of an existing definition because parent element `Citation.citedArtifact` requires a cross-version extension.
Element `Citation.citedArtifact.relatedIdentifier` is not mapped to FHIR R4, since FHIR R5 `Citation` is not mapped.
Element `Citation.citedArtifact.relatedIdentifier` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Extension.extension:relatedIdentifier.id","Extension.extension.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Extension.extension:relatedIdentifier.extension","Extension.extension.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"Extension.extension:relatedIdentifier.url","Extension.extension.url","","","",1,1,"","","","uri {[]} {[]}
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""relatedIdentifier""/>","","","","",,,,,"",,,,"Extension.url",1,1,"","","N/A"
"Extension.extension:relatedIdentifier.value[x]","Extension.extension.value[x]","","","",0,1,"","","","Identifier {[]} {[]}
","Identifier not unique to the cited artifact. May include trial registry identifiers","A formal identifier that is used to identify things closely related to the cited artifact.","May include trial registry identifiers, e.g. NCT04372602 from clinicaltrials.gov. This related identifier would not be used as unique identifier for the cited artifact itself. Multiple published articles (each with their own unique identifier) may relate to the same study record in a research registry. Commonly used related identifiers for study registries include ClinicalTrials.gov identifier (NCTId) and PROSPERO identifier (used for registration of systematic reviews). To maintain interoperability, the suggested identifier.system values to use for these 2 identifiers are: ClinicalTrials.gov = ""https://clinicaltrials.gov"" PROSPERO = ""https://www.crd.york.ac.uk/prospero/""","","","","","","","","",,,,,"",,,,"Extension.value[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","N/A"
"Extension.extension:dateAccessed","Extension.extension","dateAccessed","","",0,1,"","","","Extension {[]} {[]}
","R5: When the cited artifact was accessed (new)","R5: `Citation.citedArtifact.dateAccessed` (new:dateTime)","Element `Citation.citedArtifact.dateAccessed` is part of an existing definition because parent element `Citation.citedArtifact` requires a cross-version extension.
Element `Citation.citedArtifact.dateAccessed` is not mapped to FHIR R4, since FHIR R5 `Citation` is not mapped.
Element `Citation.citedArtifact.dateAccessed` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).
Use this element when citing an artifact from a potentially unstable source, such as a webpage, to note the date (and time) the source was accessed.","Element `Citation.citedArtifact.dateAccessed` is part of an existing definition because parent element `Citation.citedArtifact` requires a cross-version extension.
Element `Citation.citedArtifact.dateAccessed` is not mapped to FHIR R4, since FHIR R5 `Citation` is not mapped.
Element `Citation.citedArtifact.dateAccessed` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Extension.extension:dateAccessed.id","Extension.extension.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Extension.extension:dateAccessed.extension","Extension.extension.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"Extension.extension:dateAccessed.url","Extension.extension.url","","","",1,1,"","","","uri {[]} {[]}
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""dateAccessed""/>","","","","",,,,,"",,,,"Extension.url",1,1,"","","N/A"
"Extension.extension:dateAccessed.value[x]","Extension.extension.value[x]","","","",0,1,"","","","dateTime {[]} {[]}
","When the cited artifact was accessed","When the cited artifact was accessed.","Use this element when citing an artifact from a potentially unstable source, such as a webpage, to note the date (and time) the source was accessed.","","","","","","","","",,,,,"",,,,"Extension.value[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","N/A"
"Extension.extension:version","Extension.extension","version","","",0,1,"","","","Extension {[]} {[]}
","R5: The defined version of the cited artifact (new)","R5: `Citation.citedArtifact.version` (new:BackboneElement)","Element `Citation.citedArtifact.version` is part of an existing definition because parent element `Citation.citedArtifact` requires a cross-version extension.
Element `Citation.citedArtifact.version` is not mapped to FHIR R4, since FHIR R5 `Citation` is not mapped.
Element `Citation.citedArtifact.version` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).","Element `Citation.citedArtifact.version` is part of an existing definition because parent element `Citation.citedArtifact` requires a cross-version extension.
Element `Citation.citedArtifact.version` is not mapped to FHIR R4, since FHIR R5 `Citation` is not mapped.
Element `Citation.citedArtifact.version` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Extension.extension:version.id","Extension.extension.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Extension.extension:version.extension","Extension.extension.extension","","","",1,*,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Extension.extension:version.extension:value","Extension.extension.extension","value","","",1,1,"","","","Extension {[]} {[]}
","R5: The version number or other version identifier (new)","R5: `Citation.citedArtifact.version.value` (new:string)","Element `Citation.citedArtifact.version.value` is part of an existing definition because parent element `Citation.citedArtifact.version` requires a cross-version extension.
Element `Citation.citedArtifact.version.value` is not mapped to FHIR R4, since FHIR R5 `Citation` is not mapped.
Element `Citation.citedArtifact.version.value` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).","Element `Citation.citedArtifact.version.value` is part of an existing definition because parent element `Citation.citedArtifact.version` requires a cross-version extension.
Element `Citation.citedArtifact.version.value` is not mapped to FHIR R4, since FHIR R5 `Citation` is not mapped.
Element `Citation.citedArtifact.version.value` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Extension.extension:version.extension:value.id","Extension.extension.extension.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Extension.extension:version.extension:value.extension","Extension.extension.extension.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"Extension.extension:version.extension:value.url","Extension.extension.extension.url","","","",1,1,"","","","uri {[]} {[]}
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""value""/>","","","","",,,,,"",,,,"Extension.url",1,1,"","","N/A"
"Extension.extension:version.extension:value.value[x]","Extension.extension.extension.value[x]","","","",1,1,"","","","string {[]} {[]}
","The version number or other version identifier","The version number or other version identifier.","","","","","","","","","",,,,,"",,,,"Extension.value[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","N/A"
"Extension.extension:version.extension:baseCitation","Extension.extension.extension","baseCitation","","",0,1,"","","","Extension {[]} {[]}
","R5: Citation for the main version of the cited artifact (new)","R5: `Citation.citedArtifact.version.baseCitation` (new:Reference(Citation))","Element `Citation.citedArtifact.version.baseCitation` is part of an existing definition because parent element `Citation.citedArtifact.version` requires a cross-version extension.
Element `Citation.citedArtifact.version.baseCitation` is not mapped to FHIR R4, since FHIR R5 `Citation` is not mapped.
Element `Citation.citedArtifact.version.baseCitation` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).
When referencing a baseCitation, one may inherit any data from the referenced Citation Resource and consider any data in the current Citation Resource as superceding to be version-specific.","Element `Citation.citedArtifact.version.baseCitation` is part of an existing definition because parent element `Citation.citedArtifact.version` requires a cross-version extension.
Element `Citation.citedArtifact.version.baseCitation` is not mapped to FHIR R4, since FHIR R5 `Citation` is not mapped.
Element `Citation.citedArtifact.version.baseCitation` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Extension.extension:version.extension:baseCitation.id","Extension.extension.extension.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Extension.extension:version.extension:baseCitation.extension","Extension.extension.extension.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"Extension.extension:version.extension:baseCitation.url","Extension.extension.extension.url","","","",1,1,"","","","uri {[]} {[]}
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""baseCitation""/>","","","","",,,,,"",,,,"Extension.url",1,1,"","","N/A"
"Extension.extension:version.extension:baseCitation.value[x]","Extension.extension.extension.value[x]","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/5.0/StructureDefinition/profile-Citation|0.1.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/Basic|4.0.1]]}
","Citation for the main version of the cited artifact","Citation for the main version of the cited artifact.","When referencing a baseCitation, one may inherit any data from the referenced Citation Resource and consider any data in the current Citation Resource as superceding to be version-specific.","","","","","","","","",,,,,"",,,,"Extension.value[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","N/A"
"Extension.extension:version.url","Extension.extension.url","","","",1,1,"","","","uri {[]} {[]}
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""version""/>","","","","",,,,,"",,,,"Extension.url",1,1,"","","N/A"
"Extension.extension:version.value[x]","Extension.extension.value[x]","","","",0,0,"","","","base64Binary {[]} {[]}
boolean {[]} {[]}canonical {[]} {[]}code {[]} {[]}date {[]} {[]}dateTime {[]} {[]}decimal {[]} {[]}id {[]} {[]}instant {[]} {[]}integer {[]} {[]}markdown {[]} {[]}oid {[]} {[]}positiveInt {[]} {[]}string {[]} {[]}time {[]} {[]}unsignedInt {[]} {[]}uri {[]} {[]}url {[]} {[]}uuid {[]} {[]}Address {[]} {[]}Age {[]} {[]}Annotation {[]} {[]}Attachment {[]} {[]}CodeableConcept {[]} {[]}Coding {[]} {[]}ContactPoint {[]} {[]}Count {[]} {[]}Distance {[]} {[]}Duration {[]} {[]}HumanName {[]} {[]}Identifier {[]} {[]}Money {[]} {[]}Period {[]} {[]}Quantity {[]} {[]}Range {[]} {[]}Ratio {[]} {[]}Reference {[]} {[]}SampledData {[]} {[]}Signature {[]} {[]}Timing {[]} {[]}ContactDetail {[]} {[]}Contributor {[]} {[]}DataRequirement {[]} {[]}Expression {[]} {[]}ParameterDefinition {[]} {[]}RelatedArtifact {[]} {[]}TriggerDefinition {[]} {[]}UsageContext {[]} {[]}Dosage {[]} {[]}Meta {[]} {[]}","Value of extension","Value of extension - must be one of a constrained set of the data types (see [Extensibility](http://hl7.org/fhir/R4/extensibility.html) for a list).","","","","","","","","","",,,,,"",,,,"Extension.value[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","N/A"
"Extension.extension:currentState","Extension.extension","currentState","","",0,*,"","","","Extension {[]} {[]}
","R5: The status of the cited artifact (new)","R5: `Citation.citedArtifact.currentState` (new:CodeableConcept)","Element `Citation.citedArtifact.currentState` is part of an existing definition because parent element `Citation.citedArtifact` requires a cross-version extension.
Element `Citation.citedArtifact.currentState` is not mapped to FHIR R4, since FHIR R5 `Citation` is not mapped.
Element `Citation.citedArtifact.currentState` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).","Element `Citation.citedArtifact.currentState` is part of an existing definition because parent element `Citation.citedArtifact` requires a cross-version extension.
Element `Citation.citedArtifact.currentState` is not mapped to FHIR R4, since FHIR R5 `Citation` is not mapped.
Element `Citation.citedArtifact.currentState` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Extension.extension:currentState.id","Extension.extension.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Extension.extension:currentState.extension","Extension.extension.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
